,Name,link,Description,Auther,Category,Dar Al Nashr
1407,كتاب جولة في ربوع اوروبا,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d9%88%d9%84%d8%a9-%d9%81%d9%8a-%d8%b1%d8%a8%d9%88%d8%b9-%d8%a7%d9%88%d8%b1%d9%88%d8%a8%d8%a7-pdf/?view=read, جولة في ربوع وروبا بين مصر و يسلنده محمد ثابت من خلال هذا الكتاب يستكشف الم لف عواصم العواصم ال وروبية وبلدانهم ومن الجدير بالثنا للكاتب في هذا الكتاب نه قدم جوانب من الوقا ع عرضت على المر ة للقار مما يوضح له جمال هذه البلدان من قبحها وذلك من خلال تركيزه على الطبقة الدنيا في وروبا وتدني حوالهم المعيشية في ذلك الوقت حيث صور لنا الطبيعة الجغرافية لهذه الدول وطبيعة سكانها وظروفهم الاقتصادية والاجتماعية والسياسية والثقافية وال ثرية والمعالم الثقافية والذكريات التاريخية لعدد من شوارع هذه المدن مقارنة بين بعض ال حيا الفقيرة في تلك الدول وعدد من ال حيا الفقيرة في القاهرة وعبر عن عدم رضاه عن الفقر الثقافي لهذه الدول عن حضارة مصر وقد برع الكاتب من خلال كتابه في عطا القار ر ية شاملة تجمع بين المفارقات بين هذه الدول وتحد من ر ية الانبهار الحضاري للشرق بالغرب وتحقق الرسالة الثقافية لهذا الكتاب ن وروبا ليست روضة طفال للحضارة كما يتخيلها ساحروها الشرقيون وهذا ملخص كتاب جولة في ربوع اوروبا,محمد ثابت,['أدب الرحلات'],مؤسسة هنداوي
1423,كتاب حضارة الإسلام في دار السلام,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ad%d8%b6%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%a5%d8%b3%d9%84%d8%a7%d9%85-%d9%81%d9%8a-%d8%af%d8%a7%d8%b1-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85-pdf/?view=read, حضارة ال سلام في دار السلام جولة النخيل الجميلة هذا الكتاب عين على الحضارة ال سلامية في القرن الثاني الهجري في عهد هارون الرشيد ولا يخبرنا الم لف فيه بالوقا ع وال خبار الجافة بل يضعنا في قلب ال حداث لنرى و تسمع من خلال رسا ل رسل الدولة العشرة لينا زار بغداد عاصمة الخلافة و قام فيها ووصف ما يجري في مجالس العلوم وال داب والفنون وما يجري في قصور الخلفا من صراع خفي بينهم وبين وزرا هم ثم غادر المسافر لى بلاد الشام ومن هناك لى تونس والقيروان ثم ال سكندرية وعندما جا وقت الحج توجه لى بلاد الحجاز ثم عاد لى دار السلام مرة خرى والرحلة حتى لو كانت متخيلة من بداع م لفها ف نها تستمد معظم معلوماتها من كتب تراثية موثوقة وتنتج مخرجات دبية جميلة وممتعة وهذا ملخص كتاب حضارة ال سلام في دار السلام,جميل نخلة المدور,['أدب الرحلات'],مؤسسة هنداوي
1409,كتاب رحلاتي في مشارق الأرض ومغاربها,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%ad%d9%84%d8%a7%d8%aa%d9%8a-%d9%81%d9%8a-%d9%85%d8%b4%d8%a7%d8%b1%d9%82-%d8%a7%d9%84%d8%a3%d8%b1%d8%b6-%d9%88%d9%85%d8%ba%d8%a7%d8%b1%d8%a8%d9%87%d8%a7-pdf/?view=read, رحلاتي في مشارق ال رض ومغاربها محمد ثابت يواصل محمد ثابت رحلاته حول العالم راغب ا في المزيد من المعرفة يبد رحلته من بلدان الحضارة ال وروبية حيث يجوب عدد ا كبير ا من دول القارة العجوز مثل دول الشمال السويد والنرويج ثم الانتقال لى نجلترا و يرلندا ورومانيا وتركيا وبعد ن انتهى من بلاد الحضارة الحديثة ذهب لى بلاد الشام حيث صالة وتاريخ عبق سوريا ولبنان وفلسطين ثم يسافر لى بلاد المغرب العربي ومنها لى مجد الحضارة ال سلامية القديمة في ال ندلس يتابع رحلته بعد ذلك لى ال رض المقدسة مهد الرسالة حيث تبد مناسك الحج بعد ذلك يواصل رحلته لى العراق و يران و فغانستان ثم يتجه لى المجهول في فريقيا ثيوبيا وكينيا ومومباي ثم يذهب لى بلاد النهضة الحديثة في الشرق ال قصى الهند واليابان ثم مريكا الجنوبية ويختتم ب مريكا الشمالية رحلته في الولايات المتحدة وكندا وبعض جزر المحيط الهادي وهذا ملخص كتاب رحلاتي في مشارق ال رض ومغاربها,محمد ثابت,['أدب الرحلات'],مؤسسة هنداوي
1425,كتاب رحلة ابن بطوطة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%ad%d9%84%d8%a9-%d8%a7%d8%a8%d9%86-%d8%a8%d8%b7%d9%88%d8%b7%d8%a9-pdf/?view=read, رحلة ابن بطوطة تحفة النظار في غرا ب ال مصار وعجا ب ال سفار محمد بن عبد الله بن بطوطة وابن جزي الكلبي يعد هذا الكتاب من شهر كتب السفر في التاريخ اشتهر ابن بطوطة برحلاته العديدة وبسبب شهرته العالمية طلقت عليه جمعية كامبريدج لقب مير الرحالة المسلمين بد ابن بطوطة رحلته من مدينة طنجة مسقط ر سه نية ل دا فريضة الحج لى بيت الله الحرام غادر دون رفيق و قريب وفي كل مدينة اصطحب رفيق ا كان يقف فيه و خبر عنه وعن المدينة التي قابله فيها ق د ر زمن سفاره بحوالي ثلاثين سنة و ملى على ابن جازي الكلبي تفاصيل وحكايات تلك الرحلات لم يكن ابن بطوطة راضي ا عن الوصف الخارجي لل ماكن التي زارها بل شرح يض ا مداخل ومخارج المدن وطبيعة الشعوب المختلفة التي عاش معها وسرد العديد من الحكايات الشيقة التي لم يستطع ي شخص في ال دب حتى الوصول ليها قم بال شارة لينا دون ن نطلق عليه لقب ابن بطوطة وهذا ملخص كتاب رحلة ابن بطوطة,ابن بطوطة,['أدب الرحلات'],مؤسسة هنداوي
1424,كتاب رحلة الصيف البوسنة والهرسك,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%ad%d9%84%d8%a9-%d8%a7%d9%84%d8%b5%d9%8a%d9%81-%d8%a7%d9%84%d8%a8%d9%88%d8%b3%d9%86%d8%a9-%d9%88%d8%a7%d9%84%d9%87%d8%b1%d8%b3%d9%83-pdf/?view=read, رحلة الصيف لى البوسنة والهرسك محمد علي وبينما كان ال مير محمد علي قد شبع فضوله تجاه وروبا وزار عواصمها ومدنها الكبرى عدة مرات جا ت ليه الفكرة للتوجه شرقا نحو البوسنة والهرسك تلك الدول التي تتميز بسمات طبيعية خاصة ويتنوع سكانها في ال عراق والثقافات وتقع في الوسط بين الشرق الهاد والغرب الصاخب بحضارتها الحديثة وتجلياتها المادية كان ال مير يخطط للانطلاق في رحلته من النمسا لى المجر متنقلا بين عدد من المدن حتى سراييفو عاصمة البوسنة ثم لى الهرسك وبعد ذلك يعبر البحر لى الجبل ال سود مستمتع ا بالمناظر الجميلة في كل من محطاته خطته بمجرد وصوله لى البوسنة انجذبت ليه سرار تلك الدولة المثيرة ليبقى لفترة طول ويستكشفها كثر وعاد لمشاركة تجربته معنا وسردها بسرور في كتابه الذي لدينا وهذا ملخص كتاب رحلة الصيف البوسنة والهرسك,الكاتب محمد علي,['أدب الرحلات'],مؤسسة هنداوي
1417,كتاب رحلة من اسكندرية واستانبول,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%ad%d9%84%d8%a9-%d9%85%d9%86-%d8%a7%d8%b3%d9%83%d9%86%d8%af%d8%b1%d9%8a%d8%a9-%d9%88%d8%a7%d8%b3%d8%aa%d8%a7%d9%86%d8%a8%d9%88%d9%84-pdf/?view=read, رحلة سريعة من ال سكندرية واسطنبول مع السيد تول توفيق حبيب زيارة تركيا لم تكن من مشاريع م لف كتاب توفيق حبيب و الصحفي القديم كما طلق على نفسه تتطلب رحلة كهذه نفقات كثيرة يصعب عليه توفيرها لكن سعادته طرقت بابه عندما سمع ن جمعية الشبان المسيحيين في مصر تنوي القيام برحلة بمصروفات مخفضة ل عضا ها فلا يدع الم لف الفرصة تتركه وينضم لى الجمعية ليقضي يام ا قليلة في ال ناضول السعيدة ويرى يض ا حوالها و حوال هلها بعد زوال خلافة السلطان وسرعان ما يضعنا حبيب في العمل يصف بطريقة مضحكة تفاصيل الرحلة ورفاقه الرحالة وما فعله بهم دوار البحر على متن السفينة ولكن بمجرد وصولهم لى مينا اسطامبل حتى تفرقوا في حيا هم يتفرجون على ال ضرحة و الذهاب لى المقاهي والمطاعم التركية والاستمتاع بمكونات متاحفها لتقديم المسرات الطيبة والبري ة بالعودة في النهاية لى القاهرة محملة بذكريات سعيدة وهذا ملخص كتاب رحلة من اسكندرية واستانبول,وفيق حبيب,['أدب الرحلات'],مؤسسة هنداوي
1412,كتاب رحلة في زمان النوبة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%ad%d9%84%d8%a9-%d9%81%d9%8a-%d8%b2%d9%85%d8%a7%d9%86-%d8%a7%d9%84%d9%86%d9%88%d8%a8%d8%a9-pdf/?view=read, رحلة في زمان النوبة دراسة للنوبة القديمة وم شرات التنمية المستقبلية محمد رياض وكوثر عبد الرسول يقدم الدكتور محمد رياض والدكتورة كوثر عبد الرسول شهادتهما التاريخية عن حياة النوبيين المصريين قبل غرق قراهم تحت مياه بحيرة السد العالي التي بد بنا ها عام م وكيف تكيفوا في تلك المنطقة وبنى حضارة عظيمة ممتدة بد اهتمام الم لفين بالنوبة مبكر ا وكان لديهم دراسات ميدانية تتعلق بها وبلغت ذروتها في رحلة نهرية في النوبة في سبتمبر م تلتها رحلة خرى لى منطقة كورسكو النوبية في العام التالي يروي الم لفون بدقة وبشكل مثير للاهتمام كيف بد ت رحلتهم من سوان وانتهت هناك مرورا بعدة قرى نوبة نزل منها تسعة الذي بهرهم طوال الرحلة وهذا ملخص كتاب رحلة في زمان النوبة,كوثر محمود عبد الرسول,['أدب الرحلات'],مؤسسة هنداوي
1402,كتاب رسائل انقرة المقدسة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d8%b3%d8%a7%d8%a6%d9%84-%d8%a7%d9%86%d9%82%d8%b1%d8%a9-%d8%a7%d9%84%d9%85%d9%82%d8%af%d8%b3%d8%a9-pdf/?view=read, رسا ل نقرة المقدسة قدرية حسين ترجمه حمد رفعت هل هي قداسة الحروف م هي قداسة المدينة الباسلة الجواب كلاهما بال ضافة لى قدسية الروح التي سكنت قادرية الحسين ووحدتها في تخليد نضال شعب ال ناضول في وجه الاستعمار الغربي على شكل رسا ل تدخل التاريخ قاد الكفاح الملحمي بقلم مصطفى كمال باشا ضد لة القتل التي ودت بحياة الكثيرين وشردت خرين خلال الاحتلال ال جنبي لل راضي التركية الذي عقب الحرب العالمية ال ولى لم يكن مام الوطنيين الشرفا سوى خوض معركة الاستقلال ب نفسهم ورفعوا الشعار المقدس النصر من الله والفتح القريب بينما كان السلطان العثماني خاضع وخاضع للمستعمر هدفت الترجمة العربية لهذه الرسا ل لى ترسيخ دعا م المحبة وال خوة بين المصريين وال تراك في ذلك الوقت ودعوة العالم ال سلامي ب سره لمساندة بطال ال ناضول الذين غمرتهم سيول الجشع من جميع الجهات وهذا ملخص كتاب رسا ل انقرة المقدسة,قدرية حسين,['أدب الرحلات'],مؤسسة هنداوي
1404,كتاب سوانح الأميرة,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b3%d9%88%d8%a7%d9%86%d8%ad-%d8%a7%d9%84%d8%a7%d9%85%d9%8a%d8%b1%d8%a9-pdf/?view=read, سوانح ال ميرة قدرية حسين ترجمة عبد العزيز مين الخنجي ال ميرة قدرية حسين تكتب سلسلة من المقالات يسجل بعض حوال مصر في واحدة من خطر الفترات في تاريخها وهي فترة حكم ل محمد علي تتجول بمقالها النور في عهد محمد علي حيث ترصد العديد من نجازاته تشرح ال ميرة في مقالها سلطان الغوري حالة مصر في عهده ومعركته ال خيرة ضد السلطان سليم ال ول التي انتهت بوفاته ما مقالتها الغروب فتقدم بيانا بوقا ع الحملة الفرنسية على مصر تعطي لمحة ثرية عن ثار مصر في وادي الملوك من خلال مقالها قصر الموتى وفي مقالها ي ن المسلة تسلط الضو على المسلة التي تت وه لنقلها من مصر لى باريس لم تنس ن تذكرنا بحب الوطن و نه جز من ال يمان بمقالها حب الوطن جز من ال يمان وهذا ملخص كتاب سوانح الاميرة,قدرية حسين,['أدب الرحلات'],مؤسسة هنداوي
1418,كتاب سياحة في الروسيا,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b3%d9%8a%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84%d8%b1%d9%88%d8%b3%d9%8a%d8%a7-pdf/?view=read, سياحة في الروسيا رشاد بك يسجل هذا الكتاب حدى رحلات العرب لى روسيا في وا ل القرن العشرين والتي جا ت في طار الرحلة لى البلدان البعيدة التي تميزهم عن غيرها من المعالم الطبيعية والثقافية الم لف الذي يمتلك القدرة على الوصف والتعبير عن نفسه بشكل جيد يرافق القار معه في رحلته من الحصول على ت شيرة دخول لى روسيا حتى مغادرته ال سكندرية لى وديسا ول مدينة روسية تط قدمه بعد فترة طويلة الشراع الذي استغرق عدة يام الذي حمله حتى تصاعدت وتيرة المغامرة وسار رشاد بك وتفقد مدينة بعد مدينة ومعلم ا تلو ال خر ملاحظ ا وضاع السكان وسبل عيشهم فضل ا عن علومهم وفنونهم ويختتم كتابته للرحلة من خلال تقديم معلومات ضافية عن جغرافية روسيا وكتابه والتركيبة السكانية صورة حية لذلك البلد في ذلك الوقت بعيون عربية وهذا ملخص كتاب سياحة في الروسيا,رشاد بك,['أدب الرحلات'],مؤسسة هنداوي
